tag	title	mean_centroid	std_centroid	mean_rolloff	std_rolloff	mean_flux	std_flux	mean_zerocrossings	std_zerocrossings	low_energy	period0	ratioperiod1	ratioperiod2	ratioperiod3	amp0	amp1	amp2	amp3
.	classique_1.wav	905.521792515	119.901207422	127.803738318	16.0311841275	0.116465615168	0.0521558703514	101.158878505	20.3075187644	0.607476635514	184.983221477	0.996655518395	1.00673400673	0.966377440347	0.262392845033	0.260876708689	0.245901850743	0.230828595535
.	classique_10.wav	2047.92952877	833.362929874	359.205607477	272.73264915	0.070386691843	0.0161600412739	165.037383178	46.2447623169	0.616822429907	194.330199765	0.989534883721	1.02625298329	0.887711864407	0.278194624785	0.246101267824	0.239537300994	0.236166806397
.	classique_11.wav	1547.71268119	497.42237648	195.588785047	105.472231653	0.0825072092901	0.026994221425	125.635514019	37.8171677682	0.588785046729	200.211864407	0.993983152828	1.00241254524	0.996394230769	0.303697968429	0.237275690876	0.236168918618	0.222857422077
.	classique_12.wav	1622.41461082	365.558555116	217.429906542	74.1974017921	0.0982265413856	0.0329044243809	156.168224299	36.3049096809	0.551401869159	150.752051048	0.990966576332	0.98927613941	0.996438112199	0.26117022933	0.255630339954	0.245165263466	0.23803416725
.	classique_13.wav	1709.62573986	388.32451905	263.420560748	72.3981769512	0.0782606056657	0.0188079317506	152.869158879	41.245806156	0.514018691589	82.235206365	1.0	1.0	1.0	1.0	-0.0	-0.0	-0.0
.	classique_14.wav	1334.82379653	119.058182357	165.317757009	21.3066608561	0.0613882979698	0.0198897251912	130.401869159	17.9427228959	0.588785046729	85.7754149378	1.02226935313	1.00586666667	1.13843351548	0.262164450144	0.247458329971	0.246861135854	0.243516084031
.	classique_15.wav	2496.00106542	798.844223529	424.08411215	495.374079768	0.0658648349016	0.03190916743	123.588785047	33.3701845967	0.560747663551	92.8551375632	0.905439755974	1.10319685923	0.952457264957	0.300497089795	0.248113945919	0.239630532496	0.21175843179
.	classique_16.wav	1888.82060029	663.905006098	242.252336449	150.266187083	0.0713999582589	0.0252387898809	142.401869159	44.0973561445	0.495327102804	121.509919177	0.876368319382	1.1278140886	0.999274310595	0.329939268638	0.233838925729	0.220077820993	0.21614398464
.	classique_17.wav	1115.74228685	299.942410626	165.168224299	60.2718895717	0.0836572880256	0.0335084664806	95.9626168224	33.591811762	0.579439252336	83.8615618661	1.00101522843	1.93516699411	0.998039215686	0.472565883146	0.245481306723	0.146726278031	0.135226532101
.	classique_18.wav	1392.34441504	377.574308242	224.747663551	95.2176153358	0.103449787831	0.0396768370973	112.457943925	35.8872274089	0.607476635514	155.573847601	1.01917545542	0.995229007634	0.963235294118	0.267578096441	0.24936282697	0.242978441418	0.24008063517
.	classique_19.wav	1545.55993224	316.668432383	269.495327103	78.617656792	0.0954626175511	0.0306163880538	129.813084112	38.2322296003	0.598130841121	82.03125	1.00348432056	0.990631163708	1.00296735905	0.284058295036	0.253365766912	0.248186931519	0.214389006533
.	classique_2.wav	2396.44339292	1560.93264555	429.140186916	540.299578524	0.103747552203	0.0527850335443	138.112149533	44.9228470696	0.691588785047	117.038216561	1.00355113636	1.00643316655	1.00071530758	0.261892358653	0.250449641908	0.245173258381	0.242484741058
.	classique_20.wav	1618.08132006	178.630143441	240.401869159	30.7716521485	0.0931065859485	0.0330810369144	227.205607477	33.5023331083	0.644859813084	199.487334138	0.87447257384	0.939544103072	0.780959752322	0.290675265338	0.277312868774	0.245609630832	0.186402235055
.	classique_21.wav	1469.35345376	232.672455264	218.046728972	45.2268184391	0.0843712959152	0.0224677853954	184.738317757	44.1209756733	0.626168224299	200.211864407	0.933333333333	1.04486422668	0.916666666667	0.3069700495	0.237048288606	0.236179234304	0.21980242759
.	classique_22.wav	1366.15359902	583.300421781	216.644859813	133.998064733	0.100039973666	0.0447834281567	128.813084112	54.1854087407	0.560747663551	173.895899054	0.994769874477	1.00314795383	0.966531440162	0.26807388852	0.253947049047	0.245744121721	0.232234940712
